name,email,gender,status
Shashi Khatri,khatri_shashi@johnson.co,male,0
Anal Nehru,anal_nehru@ebert.info,female,1
Mukesh Banerjee DVM,banerjee_dvm_mukesh@wehner-gutmann.info,female,1
Gauraang Chopra,gauraang_chopra@larkin.com,male,0
Pran Adiga,adiga_pran@corwin-oberbrunner.co,male,0
Shankar Arora,arora_shankar@welch.co,female,1
Pres. Bandhu Pandey,pandey_bandhu_pres@abbott.io,male,1
Bhudev Khanna,bhudev_khanna@graham.org,male,1
Arindam Khanna MD,arindam_khanna_md@ortiz.biz,male,0
Amb. Aruna Menon,menon_amb_aruna@gleason-brakus.io,female,1
